Tm (°C),GC (%)
135.499,52.33
134.674,51.55
136.216,53.12
134.864,52.59
132.336,45.34
133.579,47.2
130.992,42.7
133.378,47.88
134.857,50.15
134.829,50.85
134.722,51.1
134.534,50.81
135.313,52.5
133.939,48.73
137.066,55.62
135.108,51.65
134.546,51.92
136.245,54.07
136.381,54.04
137.206,56.29
135.644,52.07
135.638,53.25
135.94,53.15
135.487,52.13
133.82,48.69
136.822,54.8
135.792,52.43
132.948,49.54
133.094,48.55
133.427,48.78
134.752,53.44
134.559,50.59
133.663,49.27
136.875,55.09
134.968,50.68
134.38,48.75
136.926,56.64
138.148,57.8
135.632,53.93
137.322,55.98
136.952,55.26
127.7,50.0
132.236,50.72
138.954,59.55
128.86,37.57
131.403,42.27
133.876,50.0
136.241,53.7
135.436,51.69
135.726,53.49
137.262,57.53
136.871,55.84
137.043,56.73
135.228,52.15
137.238,56.54
133.29,46.89
135.342,52.6
132.238,45.68
134.77,50.23
133.078,48.89
133.967,51.72
137.243,55.91
134.973,51.74
137.242,55.57
136.968,55.67
136.571,54.76
135.649,52.99
132.192,44.48
135.338,53.07
134.432,49.12
134.241,48.95
128.178,38.05
136.756,55.0
136.076,53.46
135.811,52.63
135.969,53.06
133.609,49.78
128.031,36.41
129.648,38.2
135.959,52.9
136.19,53.86
130.358,52.63
132.904,50.0
133.28,49.38
134.315,50.22
134.248,51.52
135.616,52.41
136.057,53.36
134.457,51.34
134.141,49.49
134.907,50.86
133.351,47.78
135.876,53.4
134.128,51.71
135.201,51.57
134.93,51.53
136.659,55.14
135.701,52.65
136.65,55.11
136.33,54.38
135.758,52.48
135.358,52.47
127.147,41.33
134.54,50.52
135.886,54.06
135.937,53.35
135.102,51.77
136.416,54.62
132.086,44.13
134.033,48.72
134.672,49.86
135.391,51.19
136.175,53.66
128.986,44.64
129.491,38.81
131.421,48.2
131.506,48.61
129.335,44.27
131.175,49.18
135.503,53.16
133.79,49.2
132.155,45.05
130.141,39.38
132.617,46.09
128.672,36.29
131.607,45.36
130.936,47.22
134.421,51.41
134.459,51.71
133.425,53.62
129.582,47.06
134.495,51.63
136.741,54.54
136.659,55.02
135.474,51.48
133.623,51.23
133.646,52.17
136.477,55.96
134.847,53.23
136.662,55.78
134.674,52.97
135.515,55.76
136.397,53.46
134.148,52.42
136.727,56.08
138.04,59.14
137.121,57.89
137.584,56.3
135.783,54.17
138.065,58.24
131.941,48.15
127.888,33.84
132.006,43.82
130.298,39.91
129.137,47.41
131.8,44.06
134.945,52.83
137.124,55.97
136.265,54.18
137.864,57.92
137.073,56.75
136.14,54.72
136.103,53.02
135.202,51.82
136.216,54.14
134.723,52.05
136.342,56.17
134.956,56.1
136.651,57.17
133.516,48.23
131.096,42.3
135.844,53.29
136.472,54.43
136.52,55.38
135.403,54.5
135.572,52.39
136.738,55.2
137.136,55.67
137.527,57.33
135.965,54.32
137.284,56.29
128.622,34.77
136.44,53.79
136.862,55.76
136.957,55.8
132.692,50.19
132.902,50.56
135.052,52.05
136.422,53.7
133.792,52.87
136.219,54.26
136.297,53.41
135.599,53.25
135.606,53.48
133.94,49.13
133.291,48.61
135.917,53.6
134.448,51.36
134.23,48.67
135.072,53.21
135.494,52.19
135.825,53.31
135.87,52.67
136.966,55.61
132.865,46.32
136.363,54.67
135.697,53.7
136.705,55.87
137.407,56.72
136.504,54.06
135.681,52.24
136.092,53.96
135.539,52.63
131.483,41.63
132.024,43.49
131.539,46.06
129.801,41.09
135.773,52.64
132.908,48.7
135.293,51.7
134.81,51.67
135.44,51.95
134.446,50.33
134.928,52.09
135.567,52.23
134.177,53.41
132.614,45.71
136.829,55.33
134.516,51.4
135.408,51.48
132.98,48.94
130.836,45.74
132.999,50.35
135.259,52.42
136.972,56.15
133.226,48.64
134.98,50.94
136.413,54.41
134.922,51.05
136.389,54.85
134.616,51.94
136.601,54.88
132.465,44.57
128.18,38.01
135.713,52.36
132.99,46.86
135.386,52.91
136.174,54.67
133.942,49.18
135.315,52.54
135.481,53.88
127.592,32.77
127.738,37.46
135.015,54.63
137.175,56.8
136.354,54.44
136.49,54.3
136.981,55.99
136.608,54.39
136.725,55.42
136.64,54.51
133.949,48.78
135.055,52.01
135.967,52.86
134.417,49.75
135.991,53.41
136.422,53.83
131.562,48.44
131.117,45.17
135.975,52.61
131.463,48.4
135.784,53.76
136.379,53.83
136.199,53.37
135.817,53.21
132.884,47.68
136.686,54.03
134.499,50.98
136.04,53.27
135.772,52.67
136.022,52.68
134.771,51.62
136.602,55.32
132.521,46.09
135.594,52.39
133.797,47.73
134.095,49.53
135.47,51.38
133.84,48.6
135.154,50.82
133.191,47.47
134.712,50.32
134.802,50.31
134.398,50.2
135.712,53.65
135.287,51.19
132.472,49.12
134.766,49.67
135.154,50.83
136.655,55.22
135.6,52.31
130.727,48.09
135.806,53.68
135.362,52.24
135.123,51.92
135.019,51.65
135.728,52.53
134.853,51.49
137.434,55.82
136.099,53.08
133.933,49.91
134.981,52.01
135.614,52.39
133.62,47.66
135.816,52.68
135.099,51.12
136.424,53.62
136.51,55.34
136.47,55.18
